task_id,run_uuid,status,creation_time,param_angle_of_attack,param_beta,param_tip_twist,param_x_tip_scale,param_y_tip_scale,obj_lift_to_drag
doe-200_gan-1-19-19500,0198b637-f1bc-7c99-b361-cebd64493ff7,Finished,2025-08-17T04:09:36Z,15.27238653,0.8372921243,-5,0.8,0.8,6.863472015045222
doe-200_gan-1-19-19500,0198b63a-9f8c-7c4b-a280-4b8e7f591d64,Finished,2025-08-17T04:12:32Z,15.16722204,0.1006766477,-5,0.8,0.8,5.989085352308282
doe-200_gan-1-19-19500,0198b63d-22b8-746b-868e-81fde20eb789,Finished,2025-08-17T04:15:16Z,15.86181098,0.6003941825,-5,0.8,0.8,7.128805225174634
doe-200_gan-1-19-19500,0198b63d-4f25-7d86-93a3-67e74389a895,Finished,2025-08-17T04:15:28Z,14.67499323,0.3056187176,-5,0.8,0.8,7.2953768775036965
doe-200_gan-1-19-19500,0198b63d-7dc3-79e2-ae15-107c0620f48a,Finished,2025-08-17T04:15:39Z,15.22528366,0.08633602548,-5,0.8,0.8,5.916540094761427
doe-200_gan-1-19-19500,0198b63d-e785-7665-a530-9788b34c261a,Finished,2025-08-17T04:16:07Z,16.81242213,0.2496418,-5,0.8,0.8,5.9636861538720725
doe-200_gan-1-19-19500,0198b654-7a4a-781f-aec0-920c0745c92d,Finished,2025-08-17T04:40:46Z,13.2118446,0.1526515083,-5,0.8,0.8,7.270517968832697
doe-200_gan-1-19-19500,0198b656-d384-776e-8715-759d9be06f97,Finished,2025-08-17T04:43:20Z,15.09181295,0.6806447482,-5,0.8,0.8,7.6507490401746505
doe-200_gan-1-19-19500,0198b656-e3fa-759f-9e0b-96bec97b4dd6,Finished,2025-08-17T04:43:24Z,14.43290988,0.759578505,-5,0.8,0.8,7.956405368690951
doe-200_gan-1-19-19500,0198b658-f5cc-7072-9eee-6e3736fda02e,Finished,2025-08-17T04:45:40Z,13.98751316,0.4102498232,-5,0.8,0.8,8.204285419253774
doe-200_gan-1-19-19500,0198b65a-371a-7005-aa8f-b94fcf7e595d,Finished,2025-08-17T04:47:02Z,15.37409437,0.8582633327,-5,0.8,0.8,6.615970425839218
doe-200_gan-1-19-19500,0198b66c-468e-706b-9da8-ecdd36274fa4,Finished,2025-08-17T05:06:46Z,14.71523149,0.3198574074,-5,0.8,0.8,7.371096678449117
doe-200_gan-1-19-19500,0198b671-e169-784a-8737-db10f4bbe0fd,Finished,2025-08-17T05:12:53Z,16.3593728,0.5358364756,-5,0.8,0.8,6.743437223610432
doe-200_gan-1-19-19500,0198b673-0f59-7f08-94f5-a07dad9baa76,Finished,2025-08-17T05:14:10Z,15.58480739,0.5755124809,-5,0.8,0.8,7.287982129416666
doe-200_gan-1-19-19500,0198b673-b941-7f26-9ef9-b5720765c62e,Finished,2025-08-17T05:14:54Z,15.79561415,0.5189440243,-5,0.8,0.8,7.1121639898404005
